"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US CAPITAL STOCK TOTAL ECONOMY, VOLUME CONA"
"Code","USOCFKTVD"
"CURRENCY","U$"
"15/2/1970",2320807
"15/5/1970",2346382
"15/8/1970",2373646
"15/11/1970",2399303
"15/2/1971",2423407
"15/5/1971",2448303
"15/8/1971",2472954
"15/11/1971",2496281
"15/2/1972",2519345
"15/5/1972",2542564
"15/8/1972",2564887
"15/11/1972",2593216
"15/2/1973",2627802
"15/5/1973",2665008
"15/8/1973",2701897
"15/11/1973",2738625
"15/2/1974",2774765
"15/5/1974",2810771
"15/8/1974",2844510
"15/11/1974",2876005
"15/2/1975",2904560
"15/5/1975",2928637
"15/8/1975",2955000
"15/11/1975",2981146
"15/2/1976",3006587
"15/5/1976",3027676
"15/8/1976",3048592
"15/11/1976",3070096
"15/2/1977",3096042
"15/5/1977",3125239
"15/8/1977",3154359
"15/11/1977",3183283
"15/2/1978",3209611
"15/5/1978",3244806
"15/8/1978",3281751
"15/11/1978",3320994
"15/2/1979",3358557
"15/5/1979",3397429
"15/8/1979",3443040
"15/11/1979",3490482
"15/2/1980",3542377
"15/5/1980",3587712
"15/8/1980",3631627
"15/11/1980",3676270
"15/2/1981",3721601
"15/5/1981",3765840
"15/8/1981",3811695
"15/11/1981",3862102
"15/2/1982",3909357
"15/5/1982",3953770
"15/8/1982",3991452
"15/11/1982",4023931
"15/2/1983",4049342
"15/5/1983",4072488
"15/8/1983",4100522
"15/11/1983",4137294
"15/2/1984",4181273
"15/5/1984",4233547
"15/8/1984",4289379
"15/11/1984",4347375
"15/2/1985",4402456
"15/5/1985",4458148
"15/8/1985",4511279
"15/11/1985",4565838
"15/2/1986",4620081
"15/5/1986",4673276
"15/8/1986",4727857
"15/11/1986",4781240
"15/2/1987",4829940
"15/5/1987",4881281
"15/8/1987",4936245
"15/11/1987",4988918
"15/2/1988",5039376
"15/5/1988",5093410
"15/8/1988",5146919
"15/11/1988",5201699
"15/2/1989",5257519
"15/5/1989",5314491
"15/8/1989",5375069
"15/11/1989",5430678
"15/2/1990",5488030
"15/5/1990",5540477
"15/8/1990",5592547
"15/11/1990",5642616
"15/2/1991",5687550
"15/5/1991",5732586
"15/8/1991",5776244
"15/11/1991",5818518
"15/2/1992",5860988
"15/5/1992",5906719
"15/8/1992",5952937
"15/11/1992",6001223
"15/2/1993",6047597
"15/5/1993",6097285
"15/8/1993",6145747
"15/11/1993",6199481
"15/2/1994",6250164
"15/5/1994",6303615
"15/8/1994",6361042
"15/11/1994",6423446
"15/2/1995",6492592
"15/5/1995",6562317
"15/8/1995",6630051
"15/11/1995",6700095
"15/2/1996",6774656
"15/5/1996",6856359
"15/8/1996",6944617
"15/11/1996",7039273
"15/2/1997",7139977
"15/5/1997",7246082
"15/8/1997",7362000
"15/11/1997",7475613
"15/2/1998",7593724
"15/5/1998",7719608
"15/8/1998",7848538
"15/11/1998",7982166
"15/2/1999",8118474
"15/5/1999",8262129
"15/8/1999",8409171
"15/11/1999",8554093
"15/2/2000",8703048
"15/5/2000",8855429
"15/8/2000",9002440
"15/11/2000",9143174
"15/2/2001",9275967
"15/5/2001",9397320
"15/8/2001",9504803
"15/11/2001",9602747
"15/2/2002",9689986
"15/5/2002",9771359
"15/8/2002",9848925
"15/11/2002",9919536
"15/2/2003",9984401
"15/5/2003",10053600
"15/8/2003",10128570
"15/11/2003",10202720
"15/2/2004",10275600
"15/5/2004",10353960
"15/8/2004",10437420
"15/11/2004",10524490
"15/2/2005",10614140
"15/5/2005",10706190
"15/8/2005",10798410
"15/11/2005",10889970
"15/2/2006",10986250
"15/5/2006",11081320
"15/8/2006",11181720
"15/11/2006",11275190
"15/2/2007",11366600
"15/5/2007",11457310
"15/8/2007",11547650
"15/11/2007",11638040
"15/2/2008",11729540
