"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US NAIRU,UNEMPLMT.RATE WITH NON-ACCELERATING INFLATION (AR) SADJ"
"Code","USOCFNUNQ"
"CURRENCY",
"15/2/1970",5.45
"15/5/1970",5.48
"15/8/1970",5.52
"15/11/1970",5.56
"15/2/1971",5.59
"15/5/1971",5.62
"15/8/1971",5.65
"15/11/1971",5.7
"15/2/1972",5.74
"15/5/1972",5.78
"15/8/1972",5.83
"15/11/1972",5.89
"15/2/1973",5.95
"15/5/1973",6.02
"15/8/1973",6.07
"15/11/1973",6.13
"15/2/1974",6.18
"15/5/1974",6.22
"15/8/1974",6.25
"15/11/1974",6.26
"15/2/1975",6.26
"15/5/1975",6.27
"15/8/1975",6.29
"15/11/1975",6.31
"15/2/1976",6.33
"15/5/1976",6.36
"15/8/1976",6.4
"15/11/1976",6.42
"15/2/1977",6.44
"15/5/1977",6.45
"15/8/1977",6.47
"15/11/1977",6.47
"15/2/1978",6.48
"15/5/1978",6.49
"15/8/1978",6.49
"15/11/1978",6.5
"15/2/1979",6.49
"15/5/1979",6.51
"15/8/1979",6.51
"15/11/1979",6.51
"15/2/1980",6.51
"15/5/1980",6.5
"15/8/1980",6.5
"15/11/1980",6.5
"15/2/1981",6.47
"15/5/1981",6.45
"15/8/1981",6.44
"15/11/1981",6.43
"15/2/1982",6.41
"15/5/1982",6.4
"15/8/1982",6.4
"15/11/1982",6.37
"15/2/1983",6.34
"15/5/1983",6.3
"15/8/1983",6.27
"15/11/1983",6.24
"15/2/1984",6.23
"15/5/1984",6.22
"15/8/1984",6.2
"15/11/1984",6.18
"15/2/1985",6.16
"15/5/1985",6.15
"15/8/1985",6.14
"15/11/1985",6.12
"15/2/1986",6.11
"15/5/1986",6.09
"15/8/1986",6.07
"15/11/1986",6.04
"15/2/1987",6
"15/5/1987",5.97
"15/8/1987",5.95
"15/11/1987",5.92
"15/2/1988",5.9
"15/5/1988",5.88
"15/8/1988",5.86
"15/11/1988",5.84
"15/2/1989",5.82
"15/5/1989",5.79
"15/8/1989",5.78
"15/11/1989",5.79
"15/2/1990",5.78
"15/5/1990",5.77
"15/8/1990",5.75
"15/11/1990",5.73
"15/2/1991",5.73
"15/5/1991",5.73
"15/8/1991",5.73
"15/11/1991",5.71
"15/2/1992",5.7
"15/5/1992",5.67
"15/8/1992",5.65
"15/11/1992",5.63
"15/2/1993",5.6
"15/5/1993",5.58
"15/8/1993",5.54
"15/11/1993",5.51
"15/2/1994",5.48
"15/5/1994",5.45
"15/8/1994",5.41
"15/11/1994",5.36
"15/2/1995",5.33
"15/5/1995",5.29
"15/8/1995",5.27
"15/11/1995",5.25
"15/2/1996",5.23
"15/5/1996",5.21
"15/8/1996",5.19
"15/11/1996",5.18
"15/2/1997",5.16
"15/5/1997",5.14
"15/8/1997",5.13
"15/11/1997",5.12
"15/2/1998",5.11
"15/5/1998",5.1
"15/8/1998",5.09
"15/11/1998",5.08
"15/2/1999",5.06
"15/5/1999",5.05
"15/8/1999",5.03
"15/11/1999",5.02
"15/2/2000",5.02
"15/5/2000",5.01
"15/8/2000",5.01
"15/11/2000",5.01
"15/2/2001",5.02
"15/5/2001",5.01
"15/8/2001",5
"15/11/2001",4.98
"15/2/2002",4.96
"15/5/2002",4.93
"15/8/2002",4.91
"15/11/2002",4.88
"15/2/2003",4.87
"15/5/2003",4.86
"15/8/2003",4.84
"15/11/2003",4.82
"15/2/2004",4.8
"15/5/2004",4.76
"15/8/2004",4.73
"15/11/2004",4.7
"15/2/2005",4.67
"15/5/2005",4.63
"15/8/2005",4.63
"15/11/2005",4.63
"15/2/2006",4.63
"15/5/2006",4.63
"15/8/2006",4.63
"15/11/2006",4.63
"15/2/2007",4.63
"15/5/2007",4.63
"15/8/2007",4.63
"15/11/2007",4.63
"15/2/2008",4.63
