"Start","15/2/1987"
"End","15/2/2007"
"Frequency","D"
"Name","US UNIT LABOUR COSTSADJ"
"Code","USOLC023E"
"CURRENCY","U$"
"15/2/1987",95.52
"15/5/1987",94.2
"15/8/1987",94.28
"15/11/1987",93.67
"15/2/1988",95.04
"15/5/1988",95.28
"15/8/1988",96.06
"15/11/1988",96.48
"15/2/1989",96.37
"15/5/1989",96.71
"15/8/1989",98.24
"15/11/1989",99.02
"15/2/1990",98.3
"15/5/1990",99.77
"15/8/1990",99.88
"15/11/1990",101.13
"15/2/1991",102.76
"15/5/1991",102.86
"15/8/1991",102.35
"15/11/1991",102.75
"15/2/1992",103.76
"15/5/1992",103.56
"15/8/1992",103.27
"15/11/1992",103.27
"15/2/1993",102.36
"15/5/1993",103.03
"15/8/1993",103.58
"15/11/1993",103.19
"15/2/1994",103.72
"15/5/1994",102.48
"15/8/1994",102.61
"15/11/1994",102.08
"15/2/1995",99.93
"15/5/1995",100.38
"15/8/1995",100.54
"15/11/1995",100.18
"15/2/1996",99.01
"15/5/1996",98.8
"15/8/1996",98.16
"15/11/1996",97.68
"15/2/1997",96.45
"15/5/1997",96.29
"15/8/1997",95.29
"15/11/1997",95.2
"15/2/1998",95.75
"15/5/1998",96.59
"15/8/1998",96.2
"15/11/1998",95.85
"15/2/1999",95.09
"15/5/1999",95.12
"15/8/1999",96.17
"15/11/1999",96.18
"15/2/2000",99.73
"15/5/2000",98.3
"15/8/2000",101.03
"15/11/2000",100.95
"15/2/2001",102.04
"15/5/2001",100.91
"15/8/2001",100.34
"15/11/2001",99.68
"15/2/2002",101.24
"15/5/2002",101.46
"15/8/2002",100.81
"15/11/2002",100.42
"15/2/2003",101.09
"15/5/2003",101.76
"15/8/2003",101.15
"15/11/2003",103.17
"15/2/2004",100.76
"15/5/2004",101.38
"15/8/2004",102.75
"15/11/2004",102.88
"15/2/2005",101.89
"15/5/2005",101.42
"15/8/2005",102.34
"15/11/2005",101.65
"15/2/2006",103.88
"15/5/2006",101.5
"15/8/2006",100.01
"15/11/2006",102.36
"15/2/2007",103.49
