"Start","15/2/1957"
"End","15/2/2007"
"Frequency","D"
"Name","US LABOUR FORCE VOLA"
"Code","USQ67D..O"
"CURRENCY",
"15/2/1957",65578
"15/5/1957",67082
"15/8/1957",67792
"15/11/1957",67254
"15/2/1958",66358
"15/5/1958",67995
"15/8/1958",68452
"15/11/1958",67746
"15/2/1959",66944
"15/5/1959",68622
"15/8/1959",69217
"15/11/1959",68694
"15/2/1960",67674
"15/5/1960",70080
"15/8/1960",70682
"15/11/1960",70073
"15/2/1961",69593
"15/5/1961",70937
"15/8/1961",71137
"15/11/1961",70170
"15/2/1962",69311
"15/5/1962",70850
"15/8/1962",71564
"15/11/1962",70734
"15/2/1963",70318
"15/5/1963",72188
"15/8/1963",72736
"15/11/1963",72089
"15/2/1964",71521
"15/5/1964",73720
"15/8/1964",73951
"15/11/1964",73169
"15/2/1965",72708
"15/5/1965",74853
"15/8/1965",75544
"15/11/1965",74713
"15/2/1966",73831
"15/5/1966",75946
"15/8/1966",76981
"15/11/1966",76346
"15/2/1967",75508
"15/5/1967",77075
"15/8/1967",78703
"15/11/1967",78103
"15/2/1968",77064
"15/5/1968",78919
"15/8/1968",79905
"15/11/1968",79059
"15/2/1969",78867
"15/5/1969",80514
"15/8/1969",82099
"15/11/1969",81451
"15/2/1970",81230
"15/5/1970",82602
"15/8/1970",83896
"15/11/1970",83356
"15/2/1971",82856
"15/5/1971",83896
"15/8/1971",85578
"15/11/1971",85201
"15/2/1972",85316
"15/5/1972",86776
"15/8/1972",88421
"15/11/1972",87627
"15/2/1973",87197
"15/5/1973",89163
"15/8/1973",90775
"15/11/1973",90585
"15/2/1974",90227
"15/5/1974",91559
"15/8/1974",93378
"15/11/1974",92639
"15/2/1975",92212
"15/5/1975",93507
"15/8/1975",95200
"15/11/1975",94182
"15/2/1976",94138
"15/5/1976",95735
"15/8/1976",97722
"15/11/1976",97040
"15/2/1977",96771
"15/5/1977",98617
"15/8/1977",100357
"15/11/1977",100293
"15/2/1978",99824
"15/5/1978",101904
"15/8/1978",103736
"15/11/1978",103542
"15/2/1979",103198
"15/5/1979",104294
"15/8/1979",106365
"15/11/1979",105998
"15/2/1980",105422
"15/5/1980",106712
"15/8/1980",108220
"15/11/1980",107405
"15/2/1981",107178
"15/5/1981",108799
"15/8/1981",109705
"15/11/1981",108999
"15/2/1982",108366
"15/5/1982",110099
"15/8/1982",111653
"15/11/1982",110700
"15/2/1983",109766
"15/5/1983",111189
"15/8/1983",113251
"15/11/1983",111995
"15/2/1984",111407
"15/5/1984",113599
"15/8/1984",115039
"15/11/1984",114131
"15/2/1985",113820
"15/5/1985",115263
"15/8/1985",116689
"15/11/1985",116074
"15/2/1986",115822
"15/5/1986",117720
"15/8/1986",119339
"15/11/1986",118457
"15/2/1987",118008
"15/5/1987",119732
"15/8/1987",121201
"15/11/1987",120520
"15/2/1988",119880
"15/5/1988",121356
"15/8/1988",123042
"15/11/1988",122397
"15/2/1989",122074
"15/5/1989",123780
"15/8/1989",125170
"15/11/1989",124359
"15/2/1990",124561
"15/5/1990",125975
"15/8/1990",126969
"15/11/1990",125854
"15/2/1991",125040
"15/5/1991",126568
"15/8/1991",127360
"15/11/1991",126417
"15/2/1992",126460
"15/5/1992",128295
"15/8/1992",129571
"15/11/1992",128093
"15/2/1993",127554
"15/5/1993",129208
"15/8/1993",130408
"15/11/1993",129628
"15/2/1994",129625
"15/5/1994",130800
"15/8/1994",132100
"15/11/1994",131722
"15/2/1995",131050
"15/5/1995",132281
"15/8/1995",133388
"15/11/1995",132498
"15/2/1996",132028
"15/5/1996",133717
"15/8/1996",135177
"15/11/1996",134857
"15/2/1997",134792
"15/5/1997",136233
"15/8/1997",137388
"15/11/1997",136774
"15/2/1998",136401
"15/5/1998",137472
"15/8/1998",138539
"15/11/1998",138280
"15/2/1999",138188
"15/5/1999",139275
"15/8/1999",140142
"15/11/1999",139866
"15/2/2000",141708
"15/5/2000",142719
"15/8/2000",143039
"15/11/2000",142864
"15/2/2001",143197
"15/5/2001",143534
"15/8/2001",144175
"15/11/2001",144030
"15/2/2002",143943
"15/5/2002",144875
"15/8/2002",145640
"15/11/2002",144994
"15/2/2003",145599
"15/5/2003",146703
"15/8/2003",146985
"15/11/2003",146753
"15/2/2004",146249
"15/5/2004",147132
"15/8/2004",148190
"15/11/2004",148034
"15/2/2005",147507
"15/5/2005",149159
"15/8/2005",150476
"15/11/2005",150139
"15/2/2006",149601
"15/5/2006",151154
"15/8/2006",152436
"15/11/2006",152520
"15/2/2007",152013
