"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US STATISTICAL DISCREPANCY - GROSS SAVING & INVESTMENT (AR) CURA"
"Code","USSYSVIGB"
"CURRENCY","U$"
"15/2/1950",3.7
"15/5/1950",1.3
"15/8/1950",0.7
"15/11/1950",-0.1
"15/2/1951",2.5
"15/5/1951",4
"15/8/1951",5
"15/11/1951",2.9
"15/2/1952",3.6
"15/5/1952",2.2
"15/8/1952",2.2
"15/11/1952",3.2
"15/2/1953",3.5
"15/5/1953",3.6
"15/8/1953",3.3
"15/11/1953",5.7
"15/2/1954",3
"15/5/1954",2.8
"15/8/1954",3.7
"15/11/1954",3.2
"15/2/1955",4.1
"15/5/1955",1.8
"15/8/1955",2.5
"15/11/1955",1.5
"15/2/1956",-0.9
"15/5/1956",-1.7
"15/8/1956",-1.8
"15/11/1956",-2.4
"15/2/1957",-0.4
"15/5/1957",-1.3
"15/8/1957",1
"15/11/1957",0.7
"15/2/1958",-1.7
"15/5/1958",0.5
"15/8/1958",2.9
"15/11/1958",2.4
"15/2/1959",0.6
"15/5/1959",-1.5
"15/8/1959",2.3
"15/11/1959",0.5
"15/2/1960",0.3
"15/5/1960",-1.1
"15/8/1960",0.4
"15/11/1960",-3.4
"15/2/1961",-1.2
"15/5/1961",-0.4
"15/8/1961",0.3
"15/11/1961",-0.9
"15/2/1962",1.1
"15/5/1962",1.5
"15/8/1962",1.6
"15/11/1962",-2.7
"15/2/1963",-1.1
"15/5/1963",-2.7
"15/8/1963",1
"15/11/1963",-0.3
"15/2/1964",3.2
"15/5/1964",1.7
"15/8/1964",1.3
"15/11/1964",-2.8
"15/2/1965",-1.4
"15/5/1965",-0.9
"15/8/1965",3.4
"15/11/1965",5.3
"15/2/1966",7.7
"15/5/1966",5.6
"15/8/1966",5.9
"15/11/1966",6
"15/2/1967",9.2
"15/5/1967",5.1
"15/8/1967",3.1
"15/11/1967",1.2
"15/2/1968",6
"15/5/1968",8
"15/8/1968",2.9
"15/11/1968",1.3
"15/2/1969",6.8
"15/5/1969",3.5
"15/8/1969",2.7
"15/11/1969",-0.4
"15/2/1970",5.6
"15/5/1970",7.9
"15/8/1970",8.3
"15/11/1970",7.4
"15/2/1971",14.4
"15/5/1971",14.1
"15/8/1971",14.2
"15/11/1971",3.7
"15/2/1972",8.7
"15/5/1972",15.7
"15/8/1972",12.5
"15/11/1972",-0.4
"15/2/1973",8.6
"15/5/1973",15.2
"15/8/1973",6.4
"15/11/1973",4.3
"15/2/1974",4.3
"15/5/1974",13.4
"15/8/1974",5.6
"15/11/1974",20
"15/2/1975",20.1
"15/5/1975",19.1
"15/8/1975",12.8
"15/11/1975",18.8
"15/2/1976",22.9
"15/5/1976",25.3
"15/8/1976",22.4
"15/11/1976",30
"15/2/1977",33.7
"15/5/1977",24.1
"15/8/1977",22.1
"15/11/1977",9.3
"15/2/1978",5.7
"15/5/1978",24.4
"15/8/1978",32
"15/11/1978",44.1
"15/2/1979",27.7
"15/5/1979",45.1
"15/8/1979",60.2
"15/11/1979",51.1
"15/2/1980",50.5
"15/5/1980",56.1
"15/8/1980",38.9
"15/11/1980",20.2
"15/2/1981",55.7
"15/5/1981",30.4
"15/8/1981",19.2
"15/11/1981",18.4
"15/2/1982",-7.1
"15/5/1982",-4.4
"15/8/1982",-3.3
"15/11/1982",16
"15/2/1983",21.8
"15/5/1983",41.5
"15/8/1983",60.3
"15/11/1983",59.4
"15/2/1984",28.7
"15/5/1984",18.7
"15/8/1984",12.4
"15/11/1984",-1.5
"15/2/1985",-0.5
"15/5/1985",5.8
"15/8/1985",26.2
"15/11/1985",35.2
"15/2/1986",32.6
"15/5/1986",40.7
"15/8/1986",61
"15/11/1986",53.7
"15/2/1987",41.7
"15/5/1987",26.6
"15/8/1987",3.1
"15/11/1987",15.4
"15/2/1988",-17.2
"15/5/1988",-9.7
"15/8/1988",-24.6
"15/11/1988",-26.6
"15/2/1989",-5.6
"15/5/1989",43.1
"15/8/1989",59.2
"15/11/1989",61.9
"15/2/1990",83.3
"15/5/1990",63
"15/8/1990",66.5
"15/11/1990",52.1
"15/2/1991",43.7
"15/5/1991",68.7
"15/8/1991",84.9
"15/11/1991",92.7
"15/2/1992",67.7
"15/5/1992",84.3
"15/8/1992",114
"15/11/1992",145
"15/2/1993",150
"15/5/1993",124.3
"15/8/1993",146.8
"15/11/1993",137
"15/2/1994",135.2
"15/5/1994",158.7
"15/8/1994",137.7
"15/11/1994",138.4
"15/2/1995",125.2
"15/5/1995",100.3
"15/8/1995",83
"15/11/1995",96.2
"15/2/1996",87
"15/5/1996",101.8
"15/8/1996",95.4
"15/11/1996",90.6
"15/2/1997",76.9
"15/5/1997",103.4
"15/8/1997",72.9
"15/11/1997",29.4
"15/2/1998",33.5
"15/5/1998",-24.8
"15/8/1998",-57.7
"15/11/1998",-9.7
"15/2/1999",-46.5
"15/5/1999",-38.4
"15/8/1999",-31.6
"15/11/1999",-26.4
"15/2/2000",-171.7
"15/5/2000",-67.8
"15/8/2000",-164.6
"15/11/2000",-104.6
"15/2/2001",-167.8
"15/5/2001",-98.8
"15/8/2001",-71.1
"15/11/2001",-20.9
"15/2/2002",-53.6
"15/5/2002",-56.7
"15/8/2002",14.6
"15/11/2002",11.7
"15/2/2003",21.3
"15/5/2003",21.1
"15/8/2003",97.9
"15/11/2003",54.9
"15/2/2004",38
"15/5/2004",40.8
"15/8/2004",10
"15/11/2004",-12.2
"15/2/2005",-11.1
"15/5/2005",-10.3
"15/8/2005",27.2
"15/11/2005",15.7
"15/2/2006",-20.9
"15/5/2006",-2.6
"15/8/2006",-2.5
"15/11/2006",-46.6
"15/2/2007",-35.5
